"email","total_rentals"
"eleanor.hunt@sakilacustomer.org","46"
"karl.seal@sakilacustomer.org","45"
"clara.shaw@sakilacustomer.org","42"
"marcia.dean@sakilacustomer.org","42"
"tammy.sanders@sakilacustomer.org","41"
"wesley.bull@sakilacustomer.org","40"
"sue.peters@sakilacustomer.org","40"
"rhonda.kennedy@sakilacustomer.org","39"
"marion.snyder@sakilacustomer.org","39"
"tim.cary@sakilacustomer.org","39"
"daisy.bates@sakilacustomer.org","38"
"tommy.collazo@sakilacustomer.org","38"
"curtis.irby@sakilacustomer.org","38"
"elizabeth.brown@sakilacustomer.org","38"
"brandon.huey@sakilacustomer.org","37"
"elsie.kelley@sakilacustomer.org","37"
"june.carroll@sakilacustomer.org","37"
"marsha.douglas@sakilacustomer.org","37"
"alexander.fennell@sakilacustomer.org","36"
"angela.hernandez@sakilacustomer.org","36"
"justin.ngo@sakilacustomer.org","36"
"russell.brinson@sakilacustomer.org","36"
"roger.quintanilla@sakilacustomer.org","36"
"margie.wade@sakilacustomer.org","36"
"naomi.jennings@sakilacustomer.org","35"
"diane.collins@sakilacustomer.org","35"
"mike.way@sakilacustomer.org","35"
"leslie.seward@sakilacustomer.org","35"
"michelle.clark@sakilacustomer.org","35"
"bobby.boudreau@sakilacustomer.org","35"
"alma.austin@sakilacustomer.org","35"
"billy.poulin@sakilacustomer.org","35"
"louis.leone@sakilacustomer.org","35"
"rosemary.schmidt@sakilacustomer.org","35"
"harry.arce@sakilacustomer.org","35"
"lois.butler@sakilacustomer.org","35"
"priscilla.lowe@sakilacustomer.org","35"
"carrie.porter@sakilacustomer.org","34"
"ralph.madrigal@sakilacustomer.org","34"
"ana.bradley@sakilacustomer.org","34"
"melissa.king@sakilacustomer.org","34"
"joanne.robertson@sakilacustomer.org","34"
"jessica.hall@sakilacustomer.org","34"
"sherry.marshall@sakilacustomer.org","34"
"martha.gonzalez@sakilacustomer.org","34"
"minnie.romero@sakilacustomer.org","34"
"casey.mena@sakilacustomer.org","34"
"regina.berry@sakilacustomer.org","34"
"stacey.montgomery@sakilacustomer.org","34"
"janice.ward@sakilacustomer.org","34"
"jorge.olivares@sakilacustomer.org","34"
"heidi.larson@sakilacustomer.org","34"
"gertrude.castillo@sakilacustomer.org","34"
"morris.mccarter@sakilacustomer.org","34"
"hazel.warren@sakilacustomer.org","34"
"steve.mackenzie@sakilacustomer.org","34"
"catherine.campbell@sakilacustomer.org","34"
"brett.cornwell@sakilacustomer.org","34"
"bernice.willis@sakilacustomer.org","33"
"jacqueline.long@sakilacustomer.org","33"
"crystal.ford@sakilacustomer.org","33"
"shawn.heaton@sakilacustomer.org","33"
"arnold.havens@sakilacustomer.org","33"
"alex.gresham@sakilacustomer.org","33"
"alice.stewart@sakilacustomer.org","33"
"jim.rea@sakilacustomer.org","33"
"tanya.gilbert@sakilacustomer.org","33"
"grace.ellis@sakilacustomer.org","33"
"judith.cox@sakilacustomer.org","33"
